0,0,3,3 
1,1,3,3 
2,2,3,3 
3,3,0,2 
4,4,3,3 
4,5,3,3 
4,6,3,2 
4,7,3,2 
4,8,3,3 
4,9,3,3 
4,10,3,2 
4,11,3,3 
4,12,0,1 
4,13,3,3 
4,14,3,3 
4,15,0,2 
4,16,3,3 
4,17,3,2 
4,18,3,2 
4,19,1,1 
4,20,3,3 
4,21,3,3 
4,22,3,3 
4,23,3,3 
5,24,3,2 
5,25,2,1 
5,26,3,2 
5,1,3,3 
5,27,3,1 
5,28,3,3 
5,29,2,1 
5,30,3,3 
5,31,3,3 
5,32,3,2 
5,2,3,3 
6,33,3,3 
6,0,3,3 
6,34,3,3 
6,35,2,2 
7,36,3,3 
7,37,3,3 
7,38,3,3 
7,39,2,2 
7,40,3,3 
7,41,1,2 
7,42,3,3 
7,43,1,2 
7,44,3,3 
7,31,2,3 
7,45,3,3 
7,46,3,3 
7,47,3,3 
7,48,1,1 
7,49,2,2 
7,50,3,3 
8,4,1,3 
8,51,2,2 
8,52,3,3 
8,53,3,3 
8,54,2,3 
8,30,2,3 
8,55,3,3 
8,40,3,3 
8,56,3,3 
8,57,3,3 
8,58,1,2 
8,59,3,2 
8,60,2,2 
8,61,2,3 
8,62,3,2 
8,63,1,2 
8,2,2,3 
8,64,3,3 
8,49,1,2 
8,65,0,2 
8,50,3,3 
8,66,1,2 
8,67,3,3 
9,68,3,3 
9,0,3,3 
9,69,3,2 
9,70,3,3 
9,36,3,3 
9,71,0,2 
9,72,3,2 
9,73,3,3 
9,74,2,3 
9,75,3,3 
10,52,3,3 
10,76,0,2 
10,5,2,3 
10,27,0,1 
10,30,3,3 
10,40,3,3 
10,77,3,3 
10,47,3,3 
10,78,3,3 
10,79,2,2 
10,64,3,3 
10,49,3,2 
11,68,3,3 
11,16,3,3 
11,20,3,3 
11,80,3,3 
11,81,3,2 
11,77,1,3 
11,22,3,3 
11,23,3,3 
12,82,2,2 
13,82,3,2 
13,70,2,3 
13,83,2,2 
13,14,2,3 
13,84,3,3 
14,4,3,3 
14,1,1,3 
14,5,3,3 
14,85,3,3 
14,86,3,3 
14,87,3,2 
14,88,3,3 
14,89,3,3 
14,54,2,3 
14,90,3,2 
14,91,3,3 
14,92,3,2 
14,11,3,3 
14,93,2,1 
14,12,2,1 
14,13,1,3 
14,14,1,3 
14,37,3,3 
14,94,3,3 
14,95,3,3 
14,16,3,3 
14,17,1,2 
14,96,1,2 
14,97,3,3 
14,98,2,2 
14,99,1,2 
14,100,3,2 
14,101,3,3 
14,80,1,3 
14,21,2,3 
14,102,0,2 
14,23,3,3 
14,57,3,3 
14,46,3,3 
14,103,2,2 
14,79,3,2 
15,104,1,3 
15,29,3,1 
15,49,3,2 
16,105,3,3 
16,51,3,2 
16,26,2,2 
16,1,1,3 
16,5,3,3 
16,106,3,2 
16,54,3,3 
16,107,3,3 
16,108,2,2 
16,109,3,2 
16,37,3,3 
16,110,2,2 
16,111,1,2 
16,97,3,3 
16,98,3,2 
16,100,3,2 
16,41,3,2 
16,3,2,2 
16,58,0,2 
16,42,3,3 
16,59,3,2 
16,43,2,2 
16,44,3,3 
16,112,3,3 
16,103,3,2 
16,113,3,2 
16,114,3,3 
16,48,1,1 
16,115,3,2 
17,43,3,2 
18,4,3,3 
18,116,1,2 
18,33,3,3 
18,52,1,3 
18,24,0,2 
18,117,3,2 
18,118,1,1 
18,119,3,3 
18,0,3,3 
18,26,3,2 
18,1,3,3 
18,104,3,3 
18,120,3,3 
18,121,2,2 
18,85,2,3 
18,122,2,1 
18,86,2,3 
18,88,3,3 
18,54,3,3 
18,123,2,2 
18,90,3,2 
18,7,3,2 
18,124,2,2 
18,125,2,2 
18,10,3,2 
18,11,3,3 
18,107,3,3 
18,126,3,3 
18,108,2,2 
18,73,3,3 
18,13,1,3 
18,127,3,3 
18,109,0,2 
18,94,3,3 
18,30,3,3 
18,128,3,3 
18,95,3,3 
18,16,3,3 
18,55,1,3 
18,129,1,2 
18,130,0,1 
18,111,2,2 
18,97,3,3 
18,100,3,2 
18,101,3,3 
18,131,3,3 
18,40,1,3 
18,20,3,3 
18,56,1,3 
18,80,3,3 
18,21,1,3 
18,77,3,3 
18,132,1,2 
18,23,3,3 
18,133,2,1 
18,134,2,2 
18,58,3,2 
18,84,3,3 
18,42,3,3 
18,31,2,3 
18,61,1,3 
18,135,2,2 
18,112,2,3 
18,46,3,3 
18,62,2,2 
18,103,3,2 
18,136,3,3 
18,137,3,3 
18,78,3,3 
18,64,3,3 
18,67,3,3 
19,52,3,3 
19,5,3,3 
19,138,3,2 
19,3,3,2 
19,139,3,1 
19,114,3,3 
20,87,3,2 
20,54,3,3 
20,123,3,2 
20,14,3,3 
20,80,3,3 
20,77,3,3 
20,132,0,2 
21,51,3,2 
21,140,3,2 
21,141,3,2 
21,104,3,3 
21,87,3,2 
21,90,1,2 
21,107,3,3 
21,142,3,2 
21,127,3,3 
21,30,3,3 
21,98,1,2 
21,40,3,3 
21,143,3,1 
21,3,2,2 
21,132,3,2 
21,22,3,3 
21,144,3,2 
21,31,3,3 
21,145,0,1 
21,112,3,3 
21,103,3,2 
21,114,3,3 
21,2,3,3 
21,78,3,3 
21,49,3,2 
21,115,3,2 
21,67,3,3 
22,30,3,3 
22,56,2,3 
23,52,3,3 
23,25,3,1 
23,5,3,3 
23,87,3,2 
23,131,3,3 
23,58,3,2 
23,42,3,3 
23,135,1,2 
23,136,3,3 
23,146,3,3 
24,147,1,2 
24,141,1,2 
